Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,WDS400T1X0M,WD,Black SN8100 M.2 4TB,1,716,426,https://ssd.userbenchmark.com/WD-Black-SN8100-M2-4TB/Rating/4189
SSD,WDS200T1X0M,WD,Black SN8100 M.2 2TB,2,684,2282,https://ssd.userbenchmark.com/WD-Black-SN8100-M2-2TB/Rating/4188
SSD,CT4000T705SSD3,Crucial,T705 M.2 4TB,3,673,1275,https://ssd.userbenchmark.com/Crucial-T705-M2-4TB/Rating/4168
SSD,CT4000T705SSD5,Crucial,T705 M.2 4TB,3,673,1275,https://ssd.userbenchmark.com/Crucial-T705-M2-4TB/Rating/4168
SSD,CT4000T700SSD3,Crucial,T700 M.2 4TB,4,637,2039,https://ssd.userbenchmark.com/Crucial-T700-M2-4TB/Rating/4165
SSD,CT4000T700SSD5,Crucial,T700 M.2 4TB,4,637,2039,https://ssd.userbenchmark.com/Crucial-T700-M2-4TB/Rating/4165
SSD,MZ-VAP2T0BW,Samsung,9100 Pro M.2 2TB,5,632,9149,https://ssd.userbenchmark.com/SpeedTest/2400738/Samsung-SSD-9100-PRO-2TB
SSD,MZ-VAP2T0B/AM,Samsung,9100 Pro M.2 2TB,5,632,9149,https://ssd.userbenchmark.com/SpeedTest/2400738/Samsung-SSD-9100-PRO-2TB
SSD,MZ-VAP4T0BW,Samsung,9100 Pro M.2 4TB,6,631,3818,https://ssd.userbenchmark.com/SpeedTest/2400637/Samsung-SSD-9100-PRO-4TB
SSD,MZ-VAP4T0B/AM,Samsung,9100 Pro M.2 4TB,6,631,3818,https://ssd.userbenchmark.com/SpeedTest/2400637/Samsung-SSD-9100-PRO-4TB
SSD,LNM109P004T,Lexar,NM1090 Pro M.2 4TB,7,609,44,https://ssd.userbenchmark.com/SpeedTest/2427415/Lexar-SSD-NM1090-PRO-4TB
SSD,CT2000T705SSD3,Crucial,T705 M.2 2TB,8,607,3337,https://ssd.userbenchmark.com/Crucial-T705-M2-2TB/Rating/4167
SSD,CT2000T705SSD5,Crucial,T705 M.2 2TB,8,607,3337,https://ssd.userbenchmark.com/Crucial-T705-M2-2TB/Rating/4167
SSD,WDS100T1X0M,WD,Black SN8100 M.2 1TB,9,601,557,https://ssd.userbenchmark.com/WD-Black-SN8100-M2-1TB/Rating/4190
SSD,CT4000T710SSD8,Crucial,T710 M.2 4TB,10,589,399,https://ssd.userbenchmark.com/SpeedTest/2434211/CT4000T710SSD8
SSD,CT2000T700SSD3,Crucial,T700 M.2 2TB,11,587,5216,https://ssd.userbenchmark.com/Crucial-T700-M2-2TB/Rating/4164
SSD,CT2000T700SSD5,Crucial,T700 M.2 2TB,11,587,5216,https://ssd.userbenchmark.com/Crucial-T700-M2-2TB/Rating/4164
SSD,MZ-VAP1T0BW,Samsung,9100 Pro M.2 1TB,12,548,3378,https://ssd.userbenchmark.com/SpeedTest/2401272/Samsung-SSD-9100-PRO-1TB
SSD,MZ-VAP1T0B/AM,Samsung,9100 Pro M.2 1TB,12,548,3378,https://ssd.userbenchmark.com/SpeedTest/2401272/Samsung-SSD-9100-PRO-1TB
SSD,CT2000T710SSD8,Crucial,T710 M.2 2TB,13,544,648,https://ssd.userbenchmark.com/SpeedTest/2429265/CT2000T710SSD8
SSD,LNM109P002T,Lexar,NM1090 Pro M.2 2TB,14,540,191,https://ssd.userbenchmark.com/SpeedTest/2403806/Lexar-SSD-NM1090-PRO-2TB
SSD,CT1000T705SSD3,Crucial,T705 M.2 1TB,15,530,2275,https://ssd.userbenchmark.com/Crucial-T705-M2-1TB/Rating/4166
SSD,CT1000T705SSD5,Crucial,T705 M.2 1TB,15,530,2275,https://ssd.userbenchmark.com/Crucial-T705-M2-1TB/Rating/4166
SSD,WDS400T2X0E,WD,Black SN850X M.2 4TB,16,503,18165,https://ssd.userbenchmark.com/WD-Black-SN850X-M2-4TB/Rating/4159
SSD,WDS800T2X0E,WD,Black SN850X M.2 8TB,17,501,804,https://ssd.userbenchmark.com/SpeedTest/2354098/WD-BLACK-SN850X-8000GB
SSD,CT1000T700SSD3,Crucial,T700 M.2 1TB,18,491,6037,https://ssd.userbenchmark.com/Crucial-T700-M2-1TB/Rating/4163
SSD,CT1000T700SSD5,Crucial,T700 M.2 1TB,18,491,6037,https://ssd.userbenchmark.com/Crucial-T700-M2-1TB/Rating/4163
SSD,LNM109P001T,Lexar,NM1090 Pro M.2 1TB,19,468,246,https://ssd.userbenchmark.com/SpeedTest/2407660/Lexar-SSD-NM1090-PRO-1TB
